IATA	ID	Name	City	Country	ICAO
\N	57	Forestville Airport	Forestville	Canada	CYFE
\N	104	Pitt Meadows Airport	Pitt Meadows	Canada	CYPK
\N	207	Blida Airport	Blida	Algeria	DAAB
\N	208	Bou Saada Airport	Bou Saada	Algeria	DAAD
\N	213	Reggane Airport	Reggan	Algeria	DAAN
\N	215	Ain Oussera Airport	Ain Oussera	Algeria	DAAQ
\N	218	Mecheria Airport	Mecheria	Algeria	DAAY
\N	219	Relizane Airport	Relizane	Algeria	DAAZ
\N	226	Bou Sfer Airport	Bou Sfer	Algeria	DAOE
\N	232	Sidi Bel Abbes Airport	Sidi Bel Abbes	Algeria	DAOS
\N	250	Wa Airport	Wa	Ghana	DGLW
\N	283	Dirkou Airport	Dirkou	Niger	DRZD
\N	284	Diffa Airport	Diffa	Niger	DRZF
\N	288	Sidi Ahmed Air Base	Bizerte	Tunisia	DTTB
\N	289	Remada Air Base	Remada	Tunisia	DTTD
\N	292	Borj El Amri Airport	Bordj El Amri	Tunisia	DTTI
\N	300	Beauvechain Air Base	Beauvechain	Belgium	EBBE
\N	301	Kleine Brogel Air Base	Kleine Brogel	Belgium	EBBL
\N	303	Jehonville Air Base	Bertrix	Belgium	EBBX
\N	305	Chi?¿vres Air Base	Chievres	Belgium	EBCV
\N	306	Koksijde Air Base	Koksijde	Belgium	EBFN
\N	307	Florennes Air Base	Florennes	Belgium	EBFS
\N	311	Zutendaal Air Base	Zutendaal	Belgium	EBSL
\N	312	Limburg Regional Airport	Sint-truiden	Belgium	EBST
\N	313	Saint Hubert Air Base	St.-hubert	Belgium	EBSU
\N	314	Ursel Air Base	Ursel	Belgium	EBUL
\N	315	Weelde Air Base	Weelde	Belgium	EBWE
\N	316	Oostmalle Air Base	Zoersel	Belgium	EBZR
\N	317	Bautzen Airport	Bautzen	Germany	EDAB
\N	319	Dessau Airport	Dessau	Germany	EDAD
\N	320	Eisenh??ttenstadt Airport	Eisenhuettenstadt	Germany	EDAE
\N	322	Gro?ƒenhain Airport	Suhl	Germany	EDAK
\N	323	Merseburg Airport	Muehlhausen	Germany	EDAM
\N	324	Halle-Oppin Airport	Halle	Germany	EDAQ
\N	325	Riesa-G??hlis Airport	Riesa	Germany	EDAU
\N	326	Rechlin-L?ñrz Airport	Rechlin-laerz	Germany	EDAX
\N	327	Strausberg Airport	Strausberg	Germany	EDAY
\N	328	Sch??nhagen Airport	Schoenhagen	Germany	EDAZ
\N	330	Jena-Sch??ngleina Airport	Jena	Germany	EDBJ
\N	331	Kyritz Airport	Kyritz	Germany	EDBK
